election,year,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Presidential Election,2011,-Total-,Independent,Sean Gallagher,7,1790438,3191157,1790438,1771762,18676,"[504964, 24437, 18972, 79741]","[504964, 529401, 548373, 628114]"
Presidential Election,2011,-Total-,Labour Party,Michael D. Higgins,7,1790438,3191157,1790438,1771762,18676,"[701101, 29379, 62648, 213976]","[701101, 730480, 793128, 1007104]"
Presidential Election,2011,-Total-,Sinn Féin,Martin McGuinness,7,1790438,3191157,1790438,1771762,18676,"[243030, 9581, 12585, -265196]","[243030, 252611, 265196, 0]"
Presidential Election,2011,-Total-,Fine Gael,Gay Mitchell,7,1790438,3191157,1790438,1771762,18676,"[113321, 14036, 8952, 0]","[113321, 127357, 136309, 136309]"
Presidential Election,2011,-Total-,Independent,David Norris,7,1790438,3191157,1790438,1771762,18676,"[109469, 7057, -116526, 0]","[109469, 116526, 0, 0]"
Presidential Election,2011,-Total-,Independent,Dana Rosemary Scallon,7,1790438,3191157,1790438,1771762,18676,"[51220, -51220, 0, 0]","[51220, 0, 0, 0]"
Presidential Election,2011,-Total-,Independent,Mary Davis,7,1790438,3191157,1790438,1771762,18676,"[48657, 0, 0, 0]","[48657, 48657, 48657, 48657]"
Presidential Election,2011,Carlow–Kilkenny ,Independent,Sean Gallagher,0,59328,106810,59328,58737,591,"[19846, 685, 558, 2616]","[19846, 20531, 21089, 23705]"
Presidential Election,2011,Carlow–Kilkenny ,Labour Party,Michael D. Higgins,0,59328,106810,59328,58737,591,"[21574, 808, 1537, 7217]","[21574, 22382, 23919, 31136]"
Presidential Election,2011,Carlow–Kilkenny ,Sinn Féin,Martin McGuinness,0,59328,106810,59328,58737,591,"[7257, 240, 386, -7883]","[7257, 7497, 7883, 0]"
Presidential Election,2011,Carlow–Kilkenny ,Fine Gael,Gay Mitchell,0,59328,106810,59328,58737,591,"[4511, 404, 180, 0]","[4511, 4915, 5095, 5095]"
Presidential Election,2011,Carlow–Kilkenny ,Independent,David Norris,0,59328,106810,59328,58737,591,"[2792, 183, -2975, 0]","[2792, 2975, 0, 0]"
Presidential Election,2011,Carlow–Kilkenny ,Independent,Dana Rosemary Scallon,0,59328,106810,59328,58737,591,"[1614, -1614, 0, 0]","[1614, 0, 0, 0]"
Presidential Election,2011,Carlow–Kilkenny ,Independent,Mary Davis,0,59328,106810,59328,58737,591,"[1143, 0, 0, 0]","[1143, 1143, 1143, 1143]"
Presidential Election,2011,Cavan–Monaghan ,Independent,Sean Gallagher,2,58518,98952,58518,57964,554,"[26150, 822, 407, 5041]","[26150, 26972, 27379, 32420]"
Presidential Election,2011,Cavan–Monaghan ,Labour Party,Michael D. Higgins,2,58518,98952,58518,57964,554,"[11471, 614, 750, 7474]","[11471, 12085, 12835, 20309]"
