election,year,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
general election,2016,Carlow–Kilkenny ,Fianna Fáil,John McGuinness,5,11669,107023,70514,70009,505,"[10528, 17, 278, 63, 79, 525, 413, -234, 0, 0, 0]","[10528, 10545, 10823, 10886, 10965, 11490, 11903, 11669, 11669, 11669, 11669]"
general election,2016,Carlow–Kilkenny ,Fine Gael,John Paul Phelan,5,11669,107023,70514,70009,505,"[7568, 9, 112, 24, 55, 312, 340, 30, 1772, 3978, -2531]","[7568, 7577, 7689, 7713, 7768, 8080, 8420, 8450, 10222, 14200, 11669]"
general election,2016,Carlow–Kilkenny ,Sinn Féin,Kathleen Funchion,5,11669,107023,70514,70009,505,"[8700, 138, 53, 203, 762, 372, 706, 36, 546, 204, 0]","[8700, 8838, 8891, 9094, 9856, 10228, 10934, 10970, 11516, 11720, 11720]"
general election,2016,Carlow–Kilkenny ,Fianna Fáil,Bobby Aylward,5,11669,107023,70514,70009,505,"[9366, 9, 94, 22, 58, 254, 153, 74, 604, 443, 258]","[9366, 9375, 9469, 9491, 9549, 9803, 9956, 10030, 10634, 11077, 11335]"
general election,2016,Carlow–Kilkenny ,Fine Gael,Pat Deering,5,11669,107023,70514,70009,505,"[6562, 18, 26, 17, 70, 136, 108, 3, 735, 1260, 2214]","[6562, 6580, 6606, 6623, 6693, 6829, 6937, 6940, 7675, 8935, 11149]"
general election,2016,Carlow–Kilkenny ,Fianna Fáil,Jennifer Murnane O'Connor,5,11669,107023,70514,70009,505,"[8373, 63, 66, 38, 205, 174, 104, 26, 322, 88, 59]","[8373, 8436, 8502, 8540, 8745, 8919, 9023, 9049, 9371, 9459, 9518]"
general election,2016,Carlow–Kilkenny ,Fine Gael,David Fitzgerald,5,11669,107023,70514,70009,505,"[5017, 4, 73, 12, 16, 233, 331, 35, 867, 0, 0]","[5017, 5021, 5094, 5106, 5122, 5355, 5686, 5721, 6588, 0, 0]"
general election,2016,Carlow–Kilkenny ,Labour Party,Ann Phelan,5,11669,107023,70514,70009,505,"[4391, 5, 46, 23, 83, 192, 826, 30, 0, 0, 0]","[4391, 4396, 4442, 4465, 4548, 4740, 5566, 5596, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Green Party,Malcolm Noonan,5,11669,107023,70514,70009,505,"[2621, 34, 62, 99, 392, 452, 0, 0, 0, 0, 0]","[2621, 2655, 2717, 2816, 3208, 3660, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Renua,Patrick McKee,5,11669,107023,70514,70009,505,"[2483, 28, 145, 96, 253, 0, 0, 0, 0, 0, 0]","[2483, 2511, 2656, 2752, 3005, 0, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Anti-Austerity Alliance - People Before Profit,Adrienne Wallace,5,11669,107023,70514,70009,505,"[1582, 146, 41, 573, 0, 0, 0, 0, 0, 0, 0]","[1582, 1728, 1769, 2342, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Anti-Austerity Alliance - People Before Profit,Conor MacLiam,5,11669,107023,70514,70009,505,"[1120, 59, 52, 0, 0, 0, 0, 0, 0, 0, 0]","[1120, 1179, 1231, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Independent,Paddy Manning,5,11669,107023,70514,70009,505,"[1078, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1078, 1142, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Independent,Keith Gilligan,5,11669,107023,70514,70009,505,"[456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Carlow–Kilkenny ,Independent,Noel G Walsh,5,11669,107023,70514,70009,505,"[164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Fine Gael,Heather Humphreys,4,11931,90618,,59650,598,"[12391, -460, 0, 0, 0, 0, 0, 0, 0, 0]","[12391, 11931, 11931, 11931, 11931, 11931, 11931, 11931, 11931, 11931]"
general election,2016,Cavan–Monaghan ,Sinn Féin,Caoimhghín Ó Caoláin,4,11931,90618,,59650,598,"[10060, 44, 15, 146, 150, 236, 396, 820, 5315, -5251]","[10060, 10104, 10119, 10265, 10415, 10651, 11047, 11867, 17182, 11931]"
general election,2016,Cavan–Monaghan ,Fianna Fáil,Brendan Smith,4,11931,90618,,59650,598,"[8775, 27, 5, 43, 102, 94, 96, 1784, 431, 763]","[8775, 8802, 8807, 8850, 8952, 9046, 9142, 10926, 11357, 12120]"
general election,2016,Cavan–Monaghan ,Fianna Fáil,Niamh Smyth,4,11931,90618,,59650,598,"[6268, 28, 1, 45, 113, 129, 158, 1474, 546, 882]","[6268, 6296, 6297, 6342, 6455, 6584, 6742, 8216, 8762, 9644]"
general election,2016,Cavan–Monaghan ,Fine Gael,Joe O'Reilly,4,11931,90618,,59650,598,"[6566, 280, 2, 39, 90, 278, 460, 348, 258, 469]","[6566, 6846, 6848, 6887, 6977, 7255, 7715, 8063, 8321, 8790]"
general election,2016,Cavan–Monaghan ,Sinn Féin,Kathryn Reilly,4,11931,90618,,59650,598,"[6066, 7, 5, 190, 151, 180, 138, 256, 0, 0]","[6066, 6073, 6078, 6268, 6419, 6599, 6737, 6993, 0, 0]"
general election,2016,Cavan–Monaghan ,Fianna Fáil,Mike Durkin,4,11931,90618,,59650,598,"[2909, 18, 4, 10, 36, 85, 184, 0, 0, 0]","[2909, 2927, 2931, 2941, 2977, 3062, 3246, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Independent,Mary Smyth,4,11931,90618,,59650,598,"[1589, 11, 9, 100, 202, 151, 278, 0, 0, 0]","[1589, 1600, 1609, 1709, 1911, 2062, 2340, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Independent,Seán Conlan,4,11931,90618,,59650,598,"[1665, 21, 2, 66, 99, 127, 0, 0, 0, 0]","[1665, 1686, 1688, 1754, 1853, 1980, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Green Party,Micheal Callaghan,4,11931,90618,,59650,598,"[1251, 11, 7, 141, 113, 0, 0, 0, 0, 0]","[1251, 1262, 1269, 1410, 1523, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Independent,John Wilson,4,11931,90618,,59650,598,"[1023, 6, 7, 135, 0, 0, 0, 0, 0, 0]","[1023, 1029, 1036, 1171, 0, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Direct Democracy,Mick McDermott,4,11931,90618,,59650,598,"[475, 1, 3, 0, 0, 0, 0, 0, 0, 0]","[475, 476, 479, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Direct Democracy,Aoife O'Connell,4,11931,90618,,59650,598,"[279, 3, 10, 0, 0, 0, 0, 0, 0, 0]","[279, 282, 292, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Independent,Emmett Smith,4,11931,90618,,59650,598,"[245, 1, 12, 0, 0, 0, 0, 0, 0, 0]","[245, 246, 258, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Cavan–Monaghan ,Independent,Jimmy Mee,4,11931,90618,,59650,598,"[88, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[88, 90, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Fianna Fáil,Timmy Dooley,4,11401,83660,57407,57000,407,"[10215, 77, 90, 98, 144, 148, 1378, -749, 0, 0, 0, 0]","[10215, 10292, 10382, 10480, 10624, 10772, 12150, 11401, 11401, 11401, 11401, 11401]"
general election,2016,Clare ,Independent,Michael Harty,4,11401,83660,57407,57000,407,"[8629, 183, 166, 627, 235, 520, 328, 155, 1119, -561, 0, 0]","[8629, 8812, 8978, 9605, 9840, 10360, 10688, 10843, 11962, 11401, 11401, 11401]"
general election,2016,Clare ,Fine Gael,Pat Breen,4,11401,83660,57407,57000,407,"[6583, 38, 19, 217, 480, 83, 92, 25, 278, 95, 382, 1796]","[6583, 6621, 6640, 6857, 7337, 7420, 7512, 7537, 7815, 7910, 8292, 10088]"
general election,2016,Clare ,Fine Gael,Joe Carey,4,11401,83660,57407,57000,407,"[6071, 44, 33, 47, 583, 116, 138, 30, 360, 113, 396, 1984]","[6071, 6115, 6148, 6195, 6778, 6894, 7032, 7062, 7422, 7535, 7931, 9915]"
general election,2016,Clare ,Fianna Fáil,Michael McDonagh,4,11401,83660,57407,57000,407,"[4726, 23, 15, 190, 43, 59, 441, 390, 252, 90, 700, 833]","[4726, 4749, 4764, 4954, 4997, 5056, 5497, 5887, 6139, 6229, 6929, 7762]"
general election,2016,Clare ,Labour Party,Michael McNamara,4,11401,83660,57407,57000,407,"[4472, 44, 71, 85, 224, 451, 151, 71, 386, 135, 754, 0]","[4472, 4516, 4587, 4672, 4896, 5347, 5498, 5569, 5955, 6090, 6844, 0]"
general election,2016,Clare ,Sinn Féin,Noeleen Moran,4,11401,83660,57407,57000,407,"[4216, 61, 242, 92, 53, 293, 101, 25, 390, 128, 0, 0]","[4216, 4277, 4519, 4611, 4664, 4957, 5058, 5083, 5473, 5601, 0, 0]"
general election,2016,Clare ,Independent,Ann Norton,4,11401,83660,57407,57000,407,"[2240, 81, 121, 79, 165, 296, 170, 53, 0, 0, 0, 0]","[2240, 2321, 2442, 2521, 2686, 2982, 3152, 3205, 0, 0, 0, 0]"
general election,2016,Clare ,Fianna Fáil,Claire Colleran-Molloy,4,11401,83660,57407,57000,407,"[2639, 34, 24, 19, 108, 56, 0, 0, 0, 0, 0, 0]","[2639, 2673, 2697, 2716, 2824, 2880, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Green Party,Fergal Smith,4,11401,83660,57407,57000,407,"[1700, 64, 328, 52, 49, 0, 0, 0, 0, 0, 0, 0]","[1700, 1764, 2092, 2144, 2193, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Fine Gael,Mary Howard,4,11401,83660,57407,57000,407,"[2053, 23, 22, 21, 0, 0, 0, 0, 0, 0, 0, 0]","[2053, 2076, 2098, 2119, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Independent,Ian Lynch,4,11401,83660,57407,57000,407,"[1494, 41, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1494, 1535, 1575, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Fís Nua,Niamh O'Brien,4,11401,83660,57407,57000,407,"[1154, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1154, 1216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
general election,2016,Clare ,Independent,Richard Cahill,4,11401,83660,57407,57000,407,"[699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
