election,year,county,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Local Election,2014,Carlow,Carlow,Fianna Fáil,Jennifer Murnane O'Connor,0,1067,23431,11871,11732,139,"[1530, -463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1530, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,John Pender,0,1067,23431,11871,11732,139,"[1354, 0, -287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1354, 1354, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Sinn Féin,John Cassin,0,1067,23431,11871,11732,139,"[1077, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1077, 1077, 1077, 1077, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,Fintan Phelan,0,1067,23431,11871,11732,139,"[1011, 117, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1011, 1128, 1128, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Fine Gael,Brian O'Donoghue,0,1067,23431,11871,11732,139,"[1018, 7, 48, 0, 0, -6, -6, 0, 0, 0, 0, 0, 0, 0, 0]","[1018, 1025, 1073, 1073, 1073, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Sinn Féin,Jim Deane,0,1067,23431,11871,11732,139,"[842, 36, 22, 2, 6, 1, 8, 23, 21, 20, 61, 132, -107, 0, 0]","[842, 878, 900, 902, 908, 909, 917, 940, 961, 981, 1042, 1174, 1067, 1067, 1067]"
Local Election,2014,Carlow,Carlow,Independent,Walter Lacey,0,1067,23431,11871,11732,139,"[632, 48, 9, 7, 1, 0, 11, 30, 55, 59, 42, 77, 42, 26, 77]","[632, 680, 689, 696, 697, 697, 708, 738, 793, 852, 894, 971, 1013, 1039, 1116]"
Local Election,2014,Carlow,Carlow,Fianna Fáil,Ann Ahern née Long,0,1067,23431,11871,11732,139,"[676, 93, 58, 25, 1, 1, 4, 15, 1, 42, 45, 20, 6, 20, 56]","[676, 769, 827, 852, 853, 854, 858, 873, 874, 916, 961, 981, 987, 1007, 1063]"
Local Election,2014,Carlow,Carlow,Labour Party,William Paton,0,1067,23431,11871,11732,139,"[610, 7, 77, 1, 0, 2, 2, 5, 8, 26, 56, 24, 10, 194, 24]","[610, 617, 694, 695, 695, 697, 699, 704, 712, 738, 794, 818, 828, 1022, 1046]"
Local Election,2014,Carlow,Carlow,Fine Gael,Fergal Browne,0,1067,23431,11871,11732,139,"[544, 19, 12, 3, 0, 0, 1, 4, 27, 11, 33, 8, 2, 64, 184]","[544, 563, 575, 578, 578, 578, 579, 583, 610, 621, 654, 662, 664, 728, 912]"
Local Election,2014,Carlow,Carlow,Fine Gael,Tom O'Neill,0,1067,23431,11871,11732,139,"[413, 23, 3, 5, 1, 0, 1, 8, 7, 28, 33, 10, 1, 35, 118]","[413, 436, 439, 444, 445, 445, 446, 454, 461, 489, 522, 532, 533, 568, 686]"
Local Election,2014,Carlow,Carlow,Fine Gael,Wayne Fennell,0,1067,23431,11871,11732,139,"[454, 14, 4, 3, 0, 0, 0, 4, 15, 8, 27, 8, 0, 15, 0]","[454, 468, 472, 475, 475, 475, 475, 479, 494, 502, 529, 537, 537, 552, 0]"
Local Election,2014,Carlow,Carlow,Fine Gael,Kathy Walsh,0,1067,23431,11871,11732,139,"[365, 4, 32, 0, 0, 1, 2, 5, 3, 3, 14, 7, 3, 0, 0]","[365, 369, 401, 401, 401, 402, 404, 409, 412, 415, 429, 436, 439, 0, 0]"
